WallID,Material,LayerThickness,Level,Reference,IsExternal,id,ExtendToStructure,LoadBearing,Height,Length,Width,GrossFootprintArea,NetVolume,NetSideArea
2DedXznHnDaeAWsrTB_qBp,Betong,540.0 MILLIMETRE,Floor 0,Yttervägg Paroc,True,378,True,False,2534.63712153532 MILLIMETRE,22600.0 MILLIMETRE,540.0 MILLIMETRE,12.204 SQUARE_METRE,25.1098377156085 CUBIC_METRE,48.0210989466982 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBo,Betong,540.0 MILLIMETRE,Floor 0,Yttervägg Paroc,True,645,True,False,3584.30801350511 MILLIMETRE,8960.0 MILLIMETRE,540.0 MILLIMETRE,4.83839999999999 SQUARE_METRE,12.0166799623208 CUBIC_METRE,22.2531110413347 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBn,Betong,540.0 MILLIMETRE,Floor 0,Yttervägg Paroc,True,794,True,False,2534.63712153532 MILLIMETRE,22059.9999999999 MILLIMETRE,540.0 MILLIMETRE,11.9124 SQUARE_METRE,16.8538965977316 CUBIC_METRE,32.682894901069 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBm,Betong,540.0 MILLIMETRE,Floor 0,Yttervägg Paroc,True,952,True,False,3584.30801350511 MILLIMETRE,8420.0 MILLIMETRE,540.0 MILLIMETRE,4.54680000000001 SQUARE_METRE,11.1674478700009 CUBIC_METRE,20.6804590185202 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBj,Betong,170.0 MILLIMETRE,Floor 0,Innervägg 170mm Paroc,False,1072,False,False,2400.0 MILLIMETRE,8420.0 MILLIMETRE,170.0 MILLIMETRE,1.4314 SQUARE_METRE,2.782526 CUBIC_METRE,16.3678 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBh,Betong,170.0 MILLIMETRE,Floor 0,Innervägg 170mm Paroc,False,1256,False,False,2400.0 MILLIMETRE,8484.99999999994 MILLIMETRE,170.0 MILLIMETRE,1.44244999999999 SQUARE_METRE,2.80904599999998 CUBIC_METRE,16.5237999999999 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBg,Betong,170.0 MILLIMETRE,Floor 0,Innervägg 170mm Paroc,False,1376,False,False,2400.0 MILLIMETRE,2250.0 MILLIMETRE,170.0 MILLIMETRE,0.3825 SQUARE_METRE,0.917999999999999 CUBIC_METRE,5.39999999999999 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBf,Betong,170.0 MILLIMETRE,Floor 0,Innervägg 170mm Paroc,False,1496,False,False,2400.0 MILLIMETRE,2975.0 MILLIMETRE,170.0 MILLIMETRE,0.50575 SQUARE_METRE,0.887383 CUBIC_METRE,5.2199 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBe,Betong,170.0 MILLIMETRE,Floor 0,Innervägg 170mm Paroc,False,1616,False,False,2400.0 MILLIMETRE,3600.0 MILLIMETRE,170.0 MILLIMETRE,0.612000000000001 SQUARE_METRE,1.4688 CUBIC_METRE,8.64 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBd,Betong,170.0 MILLIMETRE,Floor 0,Innervägg 170mm Paroc,False,1736,False,False,2400.0 MILLIMETRE,2300.0 MILLIMETRE,170.0 MILLIMETRE,0.390999999999999 SQUARE_METRE,0.611982999999999 CUBIC_METRE,3.5999 SQUARE_METRE
2DedXznHnDaeAWsrTB_qBc,Betong,170.0 MILLIMETRE,Floor 0,Innervägg 170mm Paroc,False,1856,False,False,2400.0 MILLIMETRE,3315.0 MILLIMETRE,170.0 MILLIMETRE,0.56355 SQUARE_METRE,1.35252 CUBIC_METRE,7.956 SQUARE_METRE
2DedXznHnDaeAWsrTB_q9K,Betong,170.0 MILLIMETRE,Floor 0,Innervägg 170mm Paroc,False,1643772,False,False,2400.0 MILLIMETRE,3770.0 MILLIMETRE,170.0 MILLIMETRE,0.640900000000001 SQUARE_METRE,1.53816 CUBIC_METRE,9.04799999999999 SQUARE_METRE
2DedXznHnDaeAWsrTB_rm$,Betong,170.0 MILLIMETRE,Floor 0,Innervägg 170mm Paroc,False,1653583,False,False,2400.0 MILLIMETRE,3880.00000000002 MILLIMETRE,170.0 MILLIMETRE,0.659600000000003 SQUARE_METRE,1.58304000000001 CUBIC_METRE,9.31200000000005 SQUARE_METRE
